кто
['Spitsyn VI', 'Shchelokov RN', 'Mikhailov YN', 'Dunaeva KM', 'Orlova IM', 'Mistrjukov VE', 'Sergeev AV', 'Kolesnik VV', 'Ashurov ZR']
['Kuvatov Y', 'Murinov YI', 'Nikitin YE', 'Kolyadina OA', 'Myasoedov BF']
['Murinov YI', 'Danilov VI', 'Nikitin YE']
['Shchelokov RN', 'Mikhailov YN', 'Orlova IM', 'Sergeev AV', 'Beyrahov AG', 'Kanishcheva AS', 'Lobanova GM']
['Shchelokov RN', 'Bolotova GT', 'Sergeev AV', 'Gilov VA', 'Mikhailov YN', 'Lobanova GM']
['Pangani VS', 'Machhoshvili RI', 'Agre VM', 'Trunov VK', 'Shchelokov RN']
['Ionova GV', 'Pershina VG', 'Spitsyn VI']
['Lebedev IA', 'Myasoedov BF']
['Zvara I']
['Khalkin VA', 'Lebedev NA']
['Volin YM', 'Kolobashkin VS', 'Makhlin VA', 'Ostrovskii GM']
['Kuus M', 'Kudryavtseva L', 'Eisen O', 'Piotrovskaya E']
['SEMAKHINA NI', 'PODKOVYRINA TA', 'SHABALIN AF', 'KARGIN YM']
['IVSHIN VP', 'YASHUKOVA OA', 'SHLYAPOCHNIKOV VA', 'TARTAKOVSKII VA']
['IVSHIN VP', 'IVSHINA TN', 'SMIRNOVA LG', 'PONOMAREVA MG']
['IVSHIN VP', 'IVSHINA TN', 'BAKHTIN KI']
['IVSHIN VP']
